,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
James_Tedesco_Roosters,432,15,41,1,Fullback,80.0,0,0,0,0,0,,0,42,16,185,31,46,2,0,0,0,6,5,13,3.77,1,41,0,0,2,5,20,0.31,0.667,6,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,1
Reece_Robinson_Roosters,579,15,41,2,Winger,80.0,0,0,0,0,0,,0,30,14,128,53,46,0,0,0,0,5,0,14,3.19,0,0,0,0,0,3,19,0.21,0.5,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Latrell_Mitchell_Roosters,486,15,41,3,Centre,80.0,10,1,2,2,1,1.0,0,57,7,86,0,20,1,1,0,0,6,1,4,4.31,0,0,0,1,1,2,9,0.29,0.8,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Joseph_Manu_Roosters,433,15,41,4,Centre,80.0,0,0,0,0,0,,0,27,6,49,0,20,0,0,1,0,3,0,3,3.43,0,0,0,0,1,3,8,0.5,0.833,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Blake_Ferguson_Roosters,487,15,41,5,Winger,80.0,0,0,0,0,0,,0,32,18,180,33,67,0,0,0,0,3,3,16,3.49,0,0,0,0,0,1,20,0.06,0.857,6,1,0,0,4,1,22,0,0,1,0,0,0,2,0,0,0,0,0,0,80.0,,2
Luke_Keary_Roosters,435,15,41,6,Five-Eighth,80.0,0,0,0,0,0,,0,25,11,49,0,5,1,1,1,0,0,0,2,3.78,0,0,0,1,0,35,44,3.18,0.833,15,2,1,0,0,4,73,0,1,1,0,0,0,3,2,0,0,0,0,0,80.0,,4
Cooper_Cronk_Roosters,430,15,41,7,Halfback,80.0,0,0,0,0,0,,0,32,10,48,0,4,0,0,1,0,0,0,1,3.72,0,0,0,2,1,33,43,3.3,0.739,17,4,2,0,0,8,180,1,1,1,0,1,0,1,1,0,2,0,0,0,80.0,,5
Jared_Waerea-hargreaves_Roosters,414,15,41,14,Prop,56.0,0,0,0,0,0,,0,31,10,111,10,46,0,0,0,0,0,9,8,3.36,0,0,0,1,0,1,12,0.1,0.8,32,5,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,56.15,,6
Jake_Friend_Roosters,413,15,41,9,Hooker,51.0,0,0,0,0,0,,0,31,3,38,0,12,0,0,0,0,1,1,1,1.76,2,22,0,2,1,70,68,23.33,0.909,30,3,0,0,0,2,60,0,0,0,0,0,0,0,0,0,3,0,0,0,29.44,20.53,7
Dylan_Napa_Roosters,489,15,41,10,Prop,53.0,0,0,0,0,0,,0,36,10,95,12,45,0,0,0,0,0,9,10,3.9,0,0,0,0,0,0,10,0,0.829,34,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29.28,23.44,6
Boyd_Cordner_Roosters,409,15,41,11,2nd Row,80.0,0,0,0,0,0,,0,39,17,161,0,61,0,0,0,0,1,17,15,3.35,0,0,0,0,1,4,21,0.24,0.857,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Ryan_Matterson_Roosters,488,15,41,12,2nd Row,80.0,4,1,0,0,0,,0,79,14,151,0,65,0,0,0,0,3,13,8,4.02,0,0,0,1,0,2,15,0.14,0.889,48,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,8
Isaac_Liu_Roosters,412,15,41,13,Lock,51.0,0,0,0,0,0,,0,27,9,68,0,20,0,0,0,0,1,7,6,3.16,0,0,0,0,0,3,11,0.33,0.857,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.38,21.21,9
Nat_Butcher_Roosters,418,15,41,18,Interchange,29.0,0,0,0,0,0,,0,20,5,44,0,17,0,0,0,0,0,5,4,3.4,0,0,0,0,0,2,7,0.4,0.857,18,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,28.59,,10
Zane_Tetevano_Roosters,424,15,41,15,Interchange,36.0,0,0,0,0,0,,0,27,7,70,26,22,0,0,0,0,0,5,7,3.83,0,0,0,0,0,2,9,0.29,0.846,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.37,,10
Mitchell_Aubusson_Roosters,417,15,41,16,Interchange,15.0,0,0,0,0,0,,0,12,3,30,0,16,0,0,0,0,0,3,3,2.89,0,0,0,0,1,2,5,0.67,0.9,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.53,,10
Victor_Radley_Roosters,423,15,41,17,Interchange,29.0,0,0,0,0,0,,0,22,5,33,0,8,0,1,0,0,0,1,3,3.68,4,19,0,0,1,29,29,5.8,0.913,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.3,6.5,10
Alex_Johnston_Rabbitohs,346,13,41,1,Fullback,80.0,0,0,0,0,0,,0,14,9,63,17,21,0,1,0,0,0,0,5,3.74,1,9,0,1,1,7,14,0.78,1.0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,80.0,,1
